



順位,名前,段位,エメラルドPT,麻雀ファイトガール最終更新：2023/09/27 20:50時点のランキング
001位,タテナオリ・セン,総合スコア 522.8,りとえるしあ雀星Lv.8,個人スコア322.2,ファイトガールスコア200.6
002位,ナナツノ・ツミレ,総合スコア 501.0,DESSA雀星Lv.13,個人スコア321.3,ファイトガールスコア179.7
003位,アマト・テンシ,総合スコア 488.7,めろりぬ雀星Lv.42,個人スコア284.6,ファイトガールスコア204.1
004位,ゼツバミ・ヤオ,総合スコア 487.2,SKコマチ雀星★Lv.6,個人スコア292.2,ファイトガールスコア195.0
005位,パイン,総合スコア 487.1,せが雀星Lv.39,個人スコア315.8,ファイトガールスコア171.3
006位,クニノカミ・ムサシ,総合スコア 481.2,とみたける雀星Lv.34,個人スコア283.2,ファイトガールスコア198.0
007位,アンコク・ミツバ,総合スコア 479.6,ミント雀星Lv.24,個人スコア284.3,ファイトガールスコア195.3
008位,トイトイ,総合スコア 479.6,ぐでかご雀星Lv.67,個人スコア279.4,ファイトガールスコア200.2
009位,ヤワラギ・ヒヨリ,総合スコア 478.8,うおたみ雀星Lv.24,個人スコア299.2,ファイトガールスコア179.6
010位,藤崎詩織,総合スコア 469.4,ひでじ雀星Lv.75,個人スコア321.1,ファイトガールスコア148.3
個別ランキングヤワラギ・ヒヨリ
018位,みつと,２級,205.8
019位,ぱね,九段,205.8
020位,ディスノミア,雀星Lv.3,202.3
021位,ひろPON,雀星Lv.8,198.2
022位,サシヌク,八段,197.9
023位,カヴ,八段,197.7
024位,SUICA07,雀星Lv.4,193.8
025位,みか,雀星Lv.10,193.5
026位,ソウリン,雀星Lv.4,187.3
027位,Aオレン,雀星Lv.1,186.9
028位,SBY,二段,186.3
029位,kr976,雀星Lv.6,185.0
030位,ツキ,雀星Lv.71,184.9
031位,ヂェニィ,雀星Lv.2,182.9
032位,はらだいこ,雀星Lv.13,182.2
033位,ぺんぺん,初段,180.4
034位,じゃんたまから,六段,176.4
035位,こたつ,雀星Lv.1,174.2
036位,よしか,九段,172.1
037位,ロック,雀星Lv.21,171.5
038位,ザンシチ,八段,171.2
039位,ファイトガール,雀星Lv.1,168.6
040位,ピンクだま,雀星Lv.1,167.4
041位,フリーレン,五段,167.3
042位,カルカヤ,雀星Lv.1,160.9
043位,おひるだー,雀星Lv.1,160.4
044位,Onisan,雀星Lv.5,158.8
045位,ゆうきゆうな,雀星Lv.2,154.1
046位,はるかわ,雀星Lv.18,151.9
047位,フリパチ,雀星Lv.3,150.9
048位,ゆりこん,三段,147.7
049位,ZACIAN,八段,145.5
050位,かる07,三段,141.1
個別ランキングトイトイ
001位,ぐでかご,雀星Lv.67,279.4
002位,よしぷー,雀星Lv.50,276.4
003位,ファイトガール,雀星Lv.6,258.9
004位,ファイトガール,四段,257.5
005位,デルさまちゃん,雀星Lv.4,251.9
006位,ざーど,雀星Lv.1,246.6
007位,えびふらい,雀星Lv.8,240.5
008位,カニさん,八段,231.0
009位,ポポキ,１級,230.5
010位,けけけけけ,雀星Lv.2,226.5
011位,Found*,五段,222.1
012位,IGRET,雀星Lv.31,221.8
013位,あずき,六段,221.5
014位,スミワケ,六段,217.5
015位,まさはる,雀星Lv.14,216.7
016位,ジャンアゴ,八段,215.8
017位,tahiti,雀星Lv.11,210.3
018位,やまねこ,雀星Lv.2,207.5
019位,よっしー,４級,203.4
020位,Medi,雀星Lv.6,199.4
021位,つきした,九段,199.0
022位,シロリン,六段,196.7
023位,NA*RI,十段,196.6
024位,FLOOR,雀星Lv.2,196.3
025位,そふぁー,雀星Lv.21,193.4
026位,AR,八段,191.7
027位,あか,九段,191.5
028位,かわうそ,雀星Lv.78,191.4
029位,さぼっこ,五段,190.1
030位,あららん,五段,189.4
031位,ねこYJ,雀星Lv.30,188.7
032位,まっぷたつ,二段,187.5
033位,S・H,十段,185.0
034位,イーソウ,雀星Lv.5,183.5
035位,ファイトガール,八段,182.1
036位,CHA,雀星Lv.4,181.3
037位,クロハMk－2,３級,181.3
038位,シグナスXRS,雀星Lv.31,175.1
039位,リニア,十段,174.5
040位,HUIO,雀星Lv.5,174.4
041位,ひの,八段,168.9
042位,ゆきまる,雀星Lv.2,167.9
043位,トニオ,１級,166.5
044位,ミズハ,３級,164.8
045位,Ruin,五段,164.6
046位,ファイトガール,五段,163.4
047位,はるのひめ,３級,162.3
048位,What,八段,160.0
049位,トルティーヤ,十段,153.3
050位,かなきー,雀星Lv.7,153.2
個別ランキングクニノカミ・ムサシ
001位,とみたける,雀星Lv.34,283.2
002位,なべしん＾ω＾,雀星★Lv.4,273.7
003位,ポロロッカ,雀星Lv.40,264.5
004位,ライデン,雀星Lv.15,259.0
005位,ポポストア,雀星Lv.31,258.3
006位,ぽむ,六段,255.2
007位,MARONY,雀星Lv.6,249.7
008位,カズマさん,雀星Lv.7,248.3
009位,キヌアリーブス,雀星Lv.6,243.0
010位,キムショウ,雀星Lv.50,241.8
011位,しろうさ☆ω☆,雀星Lv.22,238.8
012位,みずと,雀星Lv.9,237.6
013位,あっぷるじぇい,雀星Lv.21,236.7
014位,Xigyog,雀星Lv.26,225.7
015位,てんら,雀星Lv.1,225.7
016位,けいたそ,雀星Lv.40,222.2
017位,ボンバーガール,雀星Lv.2,220.9
018位,やすふくさん,雀星Lv.2,215.3
019位,AYIROM,四段,208.0
020位,ながたゆうじ,九段,206.3
021位,ハマヤ,雀星Lv.1,206.0
022位,－589－,雀星Lv.30,205.6
023位,オートマリー,雀星Lv.9,205.0
024位,だいちゃん,九段,204.7
025位,イッチ,雀星Lv.12,204.1
026位,ポキータ,九段,201.8
027位,れみりーふ,三段,200.7
028位,すずめオニ,雀星Lv.1,199.3
029位,さくらがわ,雀星Lv.1,198.6
030位,あな,五段,190.3
031位,アウス,九段,189.2
032位,＾ω＾,雀星Lv.8,184.2
033位,Chester,七段,177.9
034位,モョョ,雀星Lv.1,177.1
035位,ん♪とま,雀星Lv.9,171.9
036位,SABACAN,雀星Lv.1,167.7
037位,ぁぉぃ,雀星Lv.7,167.3
038位,DIM,十段,161.5
039位,POCHI,三段,160.2
040位,ノミン,八段,154.0
041位,しろは,九段,150.1
042位,パロ,五段,141.6
043位,まこ,雀星Lv.3,141.5
044位,あきつしま,雀星Lv.2,141.5
045位,ともはる,５級,138.8
046位,てらいカズオ,雀星Lv.3,132.6
047位,かにこうせん,雀星Lv.4,130.6
048位,じーものてさき,四段,129.0
049位,opbna,雀星Lv.1,128.4
050位,だいすきたろう,五段,126.9
個別ランキングパイン
001位,せが,雀星Lv.39,315.8
002位,よさ,十段,258.5
003位,あずまてる,五段,254.7
004位,アスマ,雀星Lv.8,252.8
005位,カナタ,九段,233.8
006位,アリュベルカ,雀星Lv.1,230.7
007位,locom,５級,228.4
008位,チヨメ☆,雀星Lv.7,227.6
009位,YOSIO,雀星Lv.24,220.4
010位,みさきメイ,雀星Lv.5,206.4
011位,マターりん,雀星Lv.8,201.9
012位,キリスランP,雀星Lv.7,198.7
013位,くろへい,雀星Lv.8,194.7
014位,コウーザ,雀星Lv.3,192.5
015位,*TONY*,雀星Lv.4,192.4
016位,パインのパイ3,雀星Lv.1,191.3
017位,ももはな,雀星Lv.40,188.7
018位,すかこ,七段,186.0
019位,ねこけんし,四段,184.8
020位,ファイトガール,雀星Lv.2,179.9
021位,ファイトガール,七段,179.3
022位,みどり,７級,179.3
023位,ぷらむ,雀星Lv.1,175.6
024位,ケビン,八段,172.0
025位,クボちゃん,１級,170.6
026位,cocoa,雀星Lv.3,169.1
027位,パステル,雀星Lv.2,167.2
028位,クロコロ,雀星Lv.1,165.4
029位,タマQ,四段,164.4
030位,K_T_K_,初段,161.4
031位,おれれれ！,三段,160.3
032位,だっしー,６級,154.8
033位,ぎんじ,十段,150.4
034位,ツナから,２級,145.3
035位,ヤン・スエ,雀星Lv.1,144.7
036位,marutaa,雀星Lv.3,144.1
037位,ニャオハガキ,６級,141.3
038位,さつきばれ,雀星Lv.4,136.0
039位,eiri,雀星Lv.33,135.0
040位,PONZA,九段,130.7
041位,けむ,雀星Lv.2,126.5
042位,ファイトガール,３級,125.5
043位,ファイトガール,九段,125.0
044位,マルキュウ,雀星Lv.2,121.9
045位,ぬぷぬぷ,十段,118.1
046位,ehyai,六段,114.6
047位,じょんじょ,六段,110.8
048位,ON,７級,85.4
049位,ぽぺのすけ,９級,79.2
050位,はやてん,雀星Lv.6,71.8
個別ランキング藤崎詩織
001位,ひでじ,雀星Lv.75,321.1
002位,ゆゆ,雀星Lv.4,268.8
003位,いそぱん,雀星Lv.28,243.9
004位,おいちゃん,雀星Lv.10,239.9
