★入賞条件/参考ボーダー★
プラチナトロフィー上位10位,173.2以上
ゴールドトロフィー上位10％,127.4以上
シルバートロフィー上位30％,97.4以上
ブロンズトロフィー上位70％,37.7以上

1305位,高宮 まり プロ,挑戦中
1407位,赤木 クロ プロ,挑戦中

順位,名前,段位,麻雀ファイトガールエメラルドPT 最終更新：2023/06/03 20:30時点のランキング
225位,のりあき,３級,125.0
226位,ファイトガール,八段,124.9
227位,EVE,雀星Lv.5,124.9
228位,くろへい,雀星Lv.3,124.8
229位,ひまや,２級,124.7
230位,キャオラッ,六段,124.6
231位,いぬさん,六段,124.4
232位,うおたみ,雀星Lv.4,124.4
233位,ペロペロ,三段,124.2
234位,DA,四段,124.2
235位,HOYQ,１級,124.1
236位,MORIRON,四段,124.1
237位,わいず,３級,124.0
238位,キリスランP,雀星Lv.2,124.0
239位,じゃんぼりぃ,雀星Lv.4,124.0
240位,あおい,６級,123.9
241位,エスエル,雀星Lv.4,123.9
242位,カズマさん,九段,123.7
243位,ながたゆうじ,８級,123.7
244位,Onisan,十段,123.7
245位,ねこYJ,八段,123.6
246位,ばーばー,二段,123.5
247位,なとりー,２級,123.3
248位,ユリエル,４級,123.3
249位,ロサキネンシス,雀星Lv.9,123.1
250位,すまんす,七段,123.0
251位,シャロン,１級,123.0
252位,MONちゃん,五段,122.8
253位,アキラSSシロ,２級,122.8
254位,まいとな,５級,122.6
255位,MA－YA,雀星Lv.9,122.5
256位,Ver_7,八段,122.3
257位,サラサ,雀星Lv.5,122.3
258位,ひややっこ,二段,122.3
259位,DBEYR,６級,122.2
260位,ファイトガール,三段,122.1
261位,みずぶろ,九段,122.0
262位,リョウ,雀星Lv.2,121.9
263位,ピエロ,初段,121.6
264位,えとこ,初段,121.6
265位,なたね,雀星Lv.7,121.5
266位,Oqan,３級,121.5
267位,asagiG2,雀星Lv.20,121.2
268位,やひろ,６級,121.0
269位,ぁぉぃ,雀星Lv.4,120.9
270位,ファイトガール,２級,120.9
271位,オニアカリ,６級,120.5
272位,なべしん＾ω＾,雀星Lv.28,120.4
273位,FERICK,初段,120.4
274位,ミーナ,８級,120.4
275位,こねこね,５級,120.3
276位,タタクヤ,二段,120.2
277位,マボしゃん,２級,120.1
278位,るい,２級,120.1
279位,Coffee,雀星Lv.6,120.0
280位,ゆっきー,１級,120.0
281位,JAKE,初段,119.8
282位,いしお,３級,119.7
283位,SUZU,初段,119.7
284位,ギガゴ,８級,119.6
285位,みか,５級,119.6
286位,EUCLID,五段,119.6
287位,KENT1mg,六段,119.5
288位,コメゾゥ,４級,119.4
289位,めろりぬ,雀星Lv.4,119.3
290位,カナちゃん,初段,119.3
291位,バイパー,３級,119.2
292位,オンスロート,５級,119.1
293位,AAAAA,３級,119.0
294位,ふいだま,初段,118.9
295位,ナナチ,雀星Lv.8,118.9
296位,カイトアイス,三段,118.5
297位,すどう,五段,118.4
298位,ユウキ,３級,118.4
299位,BLUE,五段,118.3
300位,ゆう,７級,118.3
301位,tenea,６級,118.2
302位,ゼヴ,四段,118.2
303位,あり,三段,118.1
304位,Ly,４級,117.9
305位,ミルスェット,八段,117.7
306位,スー,三段,117.7
307位,ちゃぺる,八段,117.6
308位,ビプこ,二段,117.6
309位,KOOOU,九段,117.6
310位,かおるだ,十段,117.5
311位,ぱちぇりー,雀星Lv.25,117.5
312位,ピコ,八段,117.5
313位,ハンゾー,三段,117.3
314位,るぴなす,雀星Lv.1,117.3
315位,きじとら,八段,117.2
316位,ミリムナーヴァ,４級,117.0
317位,さくら,二段,117.0
318位,ヤヤヤコココ,七段,116.6
319位,にてん,五段,116.6
320位,ムラコス,雀星Lv.3,116.4
321位,cocoa,初段,116.3
322位,ファイトガール,雀星Lv.1,116.2
323位,あれーぬ,雀星Lv.1,116.0
324位,ドボンキング,二段,116.0
325位,モス,六段,115.9
326位,klly,４級,115.8
327位,ファイトガール,雀星Lv.3,115.8
328位,AiK,８級,115.6
329位,ざーど,五段,115.5
330位,フェムト,九段,115.5
331位,ちひろ,２級,115.4
332位,チンイツ,雀星Lv.4,115.4
333位,きんちょめ,２級,115.4
334位,りな,６級,115.3
335位,STスルー,七段,115.1
336位,ぼうおすし,初段,115.1
337位,しがセンセイ,初段,115.0
338位,ヨハネ,二段,115.0
339位,avis,６級,114.9
340位,にゃも,３級,114.9
341位,ハイバネラッカ,８級,114.7
342位,ひびきんぐ,８級,114.5
343位,どろす,１級,114.4
344位,さと,五段,114.4
345位,のいる,７級,114.4
346位,re,八段,114.3
347位,ナチュラル,１級,114.3
