★入賞条件/参考ボーダー★,,,,
プラチナトロフィー上位10位,204.3以上,,,
ゴールドトロフィー上位10％,148.1以上,,,
シルバートロフィー上位30％,107.3以上,,,
ブロンズトロフィー上位70％,33.5以上,,,
,,,,
順位,名前,段位,アニバーサリーPT,麻雀ファイトガール最終更新：2024/04/20 16:30時点のランキング
293位,まじまごろー,雀星Lv.9,147.9,
294位,さかり,九段,147.8,
295位,あら,雀星Lv.2,147.8,
296位,bosouvy,雀星Lv.5,147.8,
297位,ハトよめ,雀星Lv.16,147.7,
298位,チンイツ,雀星Lv.21,147.6,
299位,うまみ,雀星Lv.3,147.5,
300位,ヨルカ,雀星Lv.10,147.2,
301位,かにこうせん,雀星Lv.11,147.1,
302位,おかかごはん,雀星Lv.2,147,
303位,いろり,雀星Lv.12,146.9,
304位,いざよいくろの,九段,146.7,
305位,はいいろ,雀星Lv.15,146.6,
306位,うた,６級,146.6,
307位,☆★☆,雀星Lv.8,146.5,
308位,ゆきにく,４級,146.5,
309位,まとおんぬ,雀星Lv.13,146.4,
310位,ユライネル,雀星Lv.38,146.4,
311位,ファイトガール,雀星Lv.4,146.2,
312位,まおん,八段,146.2,
313位,みずくらげ,二段,146,
314位,ゼノギアス,雀星Lv.9,145.9,
315位,みお！？,７級,145.7,
316位,さくらがわ,雀星Lv.5,145.7,
317位,ωネコセンパイ,十段,145.5,
318位,かえる,雀星★Lv.8,145.5,
319位,Habukey,雀星Lv.1,145.5,
320位,ノンちゃん,雀星Lv.18,145.4,
321位,ああああ,三段,145.2,
322位,ファイトガール,雀星Lv.14,145.1,
323位,くにみたま,雀星Lv.77,145.1,
324位,じばくれい,雀星Lv.16,145.1,
325位,れんず,雀星Lv.22,145,
326位,Bド,十段,145,
327位,フリクセル,二段,145,
328位,きつねししょう,雀星Lv.5,145,
329位,あき,８級,144.8,
330位,あか,雀星Lv.3,144.7,
331位,ヌスチ,初段,144.7,
332位,ファイトガール,雀星Lv.1,144.7,
333位,368℃,雀星Lv.17,144.7,
334位,ユウU,雀星Lv.11,144.7,
335位,1000℃,雀星Lv.5,144.6,
336位,ゆーある,１級,144.6,
337位,ファイトガール,雀星Lv.49,144.6,
338位,ほしみっつ,雀星Lv.3,144.5,
339位,ミズホ,雀星Lv.6,144.5,
340位,ポカリ,十段,144.5,
341位,ねってぃー,雀星Lv.31,144.3,
342位,はるね,二段,144.2,
343位,まこ,四段,144.2,
344位,ばばこのみ,雀星Lv.9,144,
345位,サブ・ゼロ,雀星Lv.1,144,
346位,まさはる,雀星Lv.33,143.8,
347位,ペコポン,九段,143.7,
348位,エマーソン,７級,143.6,
349位,IT∀A,雀星Lv.1,143.6,
350位,とらし,雀星Lv.12,143.6,
351位,らいむ,７級,143.5,
352位,ずんばらびっ,雀星Lv.5,143.3,
353位,ソラ,雀星Lv.1,143.3,
354位,あめいず,三段,143.3,
355位,ドクダミソダチ,雀星Lv.22,143.1,
356位,S・U,二段,143.1,
357位,プロトタイプ,二段,143.1,
358位,ぺるぬ,５級,143,
359位,あさシン,雀星Lv.44,142.8,
360位,イーソウ,雀星Lv.9,142.7,
361位,のふ,五段,142.6,
362位,にゃにゃ,雀星Lv.32,142.6,
363位,おねろり♪,雀星Lv.6,142.4,
364位,シルメリア,雀星Lv.18,142.3,
365位,ファイトガール,雀星Lv.7,142.3,
366位,おやさい,雀星Lv.31,142.2,
367位,だてなおと,十段,142,
368位,すずめ,６級,141.9,
369位,ヒマドール,雀星Lv.4,141.7,
370位,ヤヤヤコココ,雀星Lv.5,141.6,
371位,Y,十段,141.6,
372位,すのい,雀星Lv.2,141.6,
373位,まっつん,雀星Lv.4,141.6,
374位,ハク,雀星Lv.66,141.5,
375位,トネガワッ☆,雀星Lv.29,141.5,
376位,(ρ∋ρ),雀星Lv.4,141.3,
377位,ジークリンデ,雀星Lv.3,141,
378位,だいちゃん,雀星Lv.5,141,
379位,ぶたこ,８級,140.9,
380位,AaronML,十段,140.9,
381位,MGI,雀星Lv.47,140.8,
382位,まゆぞ,雀星Lv.6,140.7,
383位,ち,二段,140.6,
384位,エイファ,五段,140.6,
385位,アウス,雀星Lv.2,140.3,
386位,ダイコク,雀星Lv.4,140.2,
387位,ラブ2デート,雀星Lv.46,140.2,
388位,*****,五段,140.1,
389位,HIRO,雀星Lv.11,140,
390位,キョクセイ,雀星★Lv.42,140,
391位,ミーナ,雀星Lv.7,139.9,
392位,Z,１級,139.9,
393位,えちごや♪,五段,139.8,
394位,リグラン,３級,139.8,
395位,リュウ,八段,139.8,
396位,CHA,雀星Lv.4,139.8,
397位,タカ,雀星Lv.3,139.7,
398位,クドリャフカ,雀星Lv.15,139.6,
399位,Aiba,３級,139.5,
400位,ざわ,９級,139.5,
401位,ファイトガール,四段,139.3,
402位,トモトモ777,雀星Lv.2,139.3,
403位,ノーホーラ,雀星Lv.22,139.3,
404位,asagiG2,雀星Lv.86,139.3,
405位,YOSIO,雀星Lv.60,139.1,
406位,おぐらあん,雀星Lv.21,139,
407位,くりりん,雀星Lv.2,139,
408位,NON,七段,138.8,
409位,ヨコ,雀星Lv.3,138.8,
410位,yuhi,雀星Lv.39,138.8,
411位,ぐでかご,雀星★Lv.18,138.7,
412位,チヨメ☆,雀星Lv.11,138.7,
413位,pizzao,雀星Lv.4,138.7,
414位,シグナル,雀星Lv.9,138.6,
415位,bear,８級,138.5,
416位,あかたまねぎ,六段,138.4,
417位,よつんポコ,雀星Lv.8,138.3,
418位,くりたろう,雀星Lv.10,138.3,
419位,エリザベス,雀星Lv.27,138.1,
420位,ファイトガール,四段,138,
421位,こねぎ,八段,137.9,
422位,ひよどりせん,雀星Lv.3,137.9,
423位,グロウアップ,雀星Lv.18,137.8,
424位,TAITyO,雀星Lv.25,137.8,
425位,ミーア,八段,137.7,
426位,470X,九段,137.4,
427位,くろのとと,雀星Lv.71,137.4,
428位,X－suke,４級,137.3,
429位,にしのちゃる,雀星Lv.15,137.1,
430位,とらっくマン,４級,137,
431位,SHUN,６級,137,
432位,しいな・ω・,十段,136.9,
433位,イワーキ,雀星Lv.6,136.9,
434位,ちゃま,雀星Lv.22,136.8,
435位,すかこ,雀星Lv.3,136.7,
436位,TARO334,雀星Lv.4,136.7,
437位,しぶ,雀星Lv.15,136.6,
438位,haYρ－g,雀星Lv.56,136.6,
439位,うぱっち,雀星Lv.17,136.5,
440位,うーぺーこー,雀星Lv.1,136.4,
441位,ふりこみサギ,５級,136.3,
442位,スイッチ,雀星Lv.23,136.3,
443位,しぐれ,雀星Lv.8,136.3,
444位,マサヤマモト,５級,136.3,
445位,Y・K－B,雀星Lv.8,136.2,
446位,れいん,雀星★Lv.3,136.2,
447位,かわかむり,２級,136.2,
448位,ユージ,二段,136.1,
449位,KA7DE,雀星Lv.17,136.1,
450位,ネダオ,６級,135.9,
451位,なかやすみ,雀星Lv.6,135.8,
452位,セツナ,雀星Lv.2,135.6,
453位,まなみねこ,二段,135.6,
454位,ポロロッカ,雀星Lv.78,135.6,
455位,ぱらでぃ,雀星Lv.6,135.5,
456位,ニフラム,十段,135.3,
457位,ムサシ,雀星Lv.5,135.3,
458位,ガブラス,２級,135,
459位,ヤンマス,九段,134.9,
460位,ISG,１級,134.2,
461位,アニエス,雀星Lv.3,134.1,
462位,FUJI9,雀星Lv.1,134.1,
463位,Wakko,雀星Lv.2,134.1,
464位,スレッタ,雀星Lv.2,133.9,
465位,TON,雀星Lv.50,133.9,
466位,やられ,雀星Lv.14,133.9,
467位,エネドラ,雀星Lv.2,133.8,
468位,ryoゞ,雀星Lv.36,133.6,
469位,PHOENIX,雀星Lv.63,133.6,
470位,T1,七段,133.6,
471位,ダダ,雀星Lv.3,133.5,
472位,miso03,８級,133.4,
