,,,,,
,,,,,
順位,名前,段位,KACPT,麻雀ファイトガール最終更新：2023/10/01 19:20時点のランキング,
001位,タテナオリ・セン,総合スコア 563.7,JAKE雀星Lv.5,個人スコア341.8,ファイトガールスコア221.9
002位,トイトイ,総合スコア 552.5,ぐでかご雀星Lv.68,個人スコア324.9,ファイトガールスコア227.6
003位,アマト・テンシ,総合スコア 550.5,しあるん雀星Lv.97,個人スコア320.3,ファイトガールスコア230.2
004位,パイン,総合スコア 542.0,せが雀星Lv.38,個人スコア334.0,ファイトガールスコア208.0
005位,ナナツノ・ツミレ,総合スコア 534.5,DESSA雀星Lv.14,個人スコア321.3,ファイトガールスコア213.2
006位,ヤワラギ・ヒヨリ,総合スコア 526.4,うおたみ雀星Lv.26,個人スコア316.6,ファイトガールスコア209.8
007位,ゼツバミ・ヤオ,総合スコア 522.9,SKコマチ雀星★Lv.7,個人スコア297.6,ファイトガールスコア225.3
008位,藤崎詩織,総合スコア 515.6,ひでじ雀星Lv.76,個人スコア351.5,ファイトガールスコア164.1
009位,クニノカミ・ムサシ,総合スコア 509.9,ぽむ十段,個人スコア287.7,ファイトガールスコア222.2
010位,アンコク・ミツバ,総合スコア 503.2,ミント雀星Lv.24,個人スコア284.3,ファイトガールスコア218.9
044位,かきごおりR,雀星Lv.2,197.1,,
045位,teRu,雀星Lv.1,196.1,,
046位,ファイトガール,四段,191.3,,
047位,ひがしせつな,雀星Lv.14,187.2,,
048位,ゆめくいナナタ,雀星Lv.2,187.1,,
049位,ZERO,雀星Lv.1,186.4,,
050位,ひいらぎ,八段,185.8,,
個別ランキングアンコク・ミツバ,,,,,
001位,ミント,雀星Lv.24,284.3,,
002位,SARUSA,五段,275.4,,
003位,にかろん,雀星Lv.12,269.6,,
004位,るん,雀星Lv.9,265.9,,
005位,よしか,雀星Lv.2,265.8,,
006位,no・ω・co,雀星Lv.4,263,,
007位,きなこ,五段,262.9,,
008位,さんつ,雀星Lv.2,258.8,,
009位,ファイトガール,雀星Lv.2,254.9,,
010位,ちょめ,三段,253.4,,
011位,びゃっこや,雀星Lv.2,248.5,,
012位,キョクセイ,雀星Lv.44,245.8,,
013位,キョウ,八段,244.4,,
014位,かっち,十段,239.1,,
015位,サシヌク,八段,231.8,,
016位,みか,雀星Lv.13,230.3,,
017位,ちょ～らじ,雀星Lv.7,229.8,,
018位,ルカワチャン！,四段,226.2,,
019位,ちゃぺる,雀星Lv.4,223.2,,
020位,アトリ,雀星Lv.2,223.1,,
021位,ぱね,九段,221.9,,
022位,ひろPON,雀星Lv.8,220.4,,
023位,kr976,雀星Lv.7,215.9,,
024位,ディスノミア,雀星Lv.3,215.7,,
025位,mutsuki,雀星Lv.1,214.8,,
026位,たかぴー,雀星Lv.2,214.1,,
027位,シャオプ,十段,213,,
028位,ほうおん,雀星Lv.23,208.9,,
029位,ふにゃ～,八段,206.7,,
030位,みつと,初段,205.8,,
031位,ヂェニィ,雀星Lv.3,203.9,,
032位,おひるだー,雀星Lv.1,198.6,,
033位,フリパチ,雀星Lv.3,198.4,,
034位,カヴ,八段,197.7,,
035位,ソウリン,雀星Lv.5,194.8,,
036位,ツキ,雀星Lv.72,194.5,,
037位,SUICA07,雀星Lv.4,193.8,,
038位,AIN,１級,192.4,,
039位,こたつ,雀星Lv.1,190.2,,
040位,スー,雀星Lv.2,189.8,,
041位,ロック,雀星Lv.22,189.6,,
042位,ザンシチ,八段,188.8,,
043位,Aオレン,雀星Lv.1,187.1,,
044位,ピンクだま,雀星Lv.2,187,,
045位,SBY,二段,186.3,,
046位,ハトよめ,雀星Lv.5,185.8,,
047位,Onisan,雀星Lv.6,183.5,,
048位,こーりん,九段,183.5,,
049位,ゆき,五段,183.1,,
050位,はらだいこ,雀星Lv.14,182.2,,
個別ランキングトイトイ,,,,,
001位,ぐでかご,雀星Lv.68,324.9,,
002位,よしぷー,雀星Lv.49,288.7,,
003位,かわうそ,雀星Lv.79,277.6,,
004位,デルさまちゃん,雀星Lv.4,271.1,,
005位,IGRET,雀星Lv.32,267.9,,
006位,カニさん,十段,263,,
007位,tahiti,雀星Lv.12,259.8,,
008位,ファイトガール,雀星Lv.6,258.9,,
009位,ざーど,雀星Lv.1,258.8,,
010位,シロリン,七段,257.9,,
011位,ファイトガール,四段,257.5,,
012位,けけけけけ,雀星Lv.2,256.4,,
013位,とをる,雀星Lv.1,250.9,,
014位,ねこYJ,雀星Lv.34,249.3,,
015位,えびふらい,雀星Lv.9,244.6,,
016位,S・H,雀星Lv.1,244.1,,
017位,あずき,七段,236.8,,
018位,ザナドゥ,四段,234.7,,
019位,MKzty,雀星Lv.1,232.8,,
020位,ポポキ,１級,230.5,,
021位,TOYBOY,二段,229,,
022位,AR,九段,228.7,,
023位,つきした,十段,225.7,,
024位,NA*RI,雀星Lv.1,224.9,,
025位,さぼっこ,六段,224.7,,
026位,Found*,五段,222.1,,
027位,FUKAKEN,雀星Lv.24,219.8,,
028位,スミワケ,七段,219.3,,
029位,まさはる,雀星Lv.15,216.7,,
030位,ジャンアゴ,八段,215.8,,
031位,ミズハ,２級,215.6,,
032位,やまねこ,雀星Lv.2,214.9,,
033位,あららん,七段,209.4,,
034位,あか,十段,209,,
035位,まっぷたつ,三段,205.9,,
036位,こうそく,二段,204.2,,
037位,かわしろにとり,八段,203.5,,
038位,よっしー,４級,203.4,,
039位,れんげどん,八段,201.9,,
040位,ゆきまる,雀星Lv.3,201.5,,
041位,ファイトガール,雀星Lv.6,199.4,,
042位,FLOOR,雀星Lv.2,196.3,,
043位,シグナスXRS,雀星Lv.31,195,,
044位,そふぁー,雀星Lv.21,193.4,,
045位,かなきー,雀星Lv.7,192.6,,
046位,イーソウ,雀星Lv.5,191.5,,
047位,リニア,十段,187.9,,
048位,ファイトガール,五段,187.8,,
049位,KITTY,雀星Lv.2,186.3,,
050位,Y・S,雀星Lv.3,185.9,,
個別ランキングクニノカミ・ムサシ,,,,,
001位,ぽむ,雀星Lv.1,287.7,,
002位,ポポストア,雀星Lv.32,287.3,,
003位,なべしん＾ω＾,雀星★Lv.4,287.2,,
004位,とみたける,雀星Lv.37,285.7,,
005位,あっぷるじぇい,雀星Lv.22,281.6,,
006位,しろうさ☆ω☆,雀星Lv.22,269.5,,
007位,ポロロッカ,雀星Lv.42,268.5,,
008位,ライデン,雀星Lv.16,267.5,,
009位,キヌアリーブス,雀星Lv.6,258.2,,
010位,カズマさん,雀星Lv.7,256.4,,
011位,キムショウ,雀星Lv.52,250,,
012位,MARONY,雀星Lv.6,250,,
013位,－589－,雀星Lv.32,245.4,,
014位,ともはる,２級,240.6,,
015位,アウス,十段,239.5,,
016位,てんら,雀星Lv.1,238.3,,
017位,みずと,雀星Lv.10,237.6,,
018位,Xigyog,雀星Lv.26,233.8,,
019位,ぁぉぃ,雀星Lv.9,232.3,,
020位,やすふくさん,九段,227,,
021位,けいたそ,雀星Lv.40,222.2,,
022位,ボンバーガール,雀星Lv.2,220.9,,
023位,＾ω＾,雀星Lv.9,218.8,,
024位,AYIROM,五段,218.3,,
025位,イッチ,雀星Lv.11,217.8,,
026位,ハマヤ,雀星Lv.1,217.1,,
027位,れみりーふ,四段,214.5,,
028位,だいちゃん,九段,213.5,,
029位,ながたゆうじ,十段,213.1,,
030位,ちゃま,五段,211.3,,
031位,opbna,雀星Lv.1,209.6,,
032位,ん♪とま,雀星Lv.10,207.4,,
033位,オートマリー,雀星Lv.9,205,,
034位,SABACAN,雀星Lv.1,203.6,,
035位,ポキータ,九段,201.8,,
036位,Chester,七段,201.4,,
037位,あな,五段,199.5,,
038位,すずめオニ,雀星Lv.1,199.4,,
039位,さくらがわ,雀星Lv.1,198.6,,
040位,モョョ,雀星Lv.1,193,,
041位,りんぎ,初段,186.6,,
042位,Y・K－B,五段,185.5,,
043位,はうざー,雀星Lv.18,180.3,,
044位,DIM,十段,179.7,,
045位,フルミネ,七段,176.5,,
046位,HAL,七段,175.9,,
047位,きんけつのリゼ,雀星Lv.3,175.8,,
048位,ノミン,八段,174.7,,
049位,ch1tose,初段,173.8,,
050位,あきひろ,８級,172.4,,
個別ランキングパイン,,,,,
001位,せが,雀星Lv.38,334,,
002位,パインのパイ3,雀星Lv.2,291.1,,
003位,みどり,二段,274.9,,
004位,カナタ,九段,266.1,,
005位,あずまてる,五段,264.5,,
006位,よさ,十段,264.2,,
007位,みさきメイ,雀星Lv.8,258,,
008位,アスマ,雀星Lv.10,253.2,,
009位,eiri,雀星Lv.36,250.5,,
010位,アリュベルカ,雀星Lv.1,247.3,,
011位,locom,４級,241.2,,
012位,チヨメ☆,雀星Lv.7,239.2,,
013位,YOSIO,雀星Lv.22,237,,
014位,マターりん,雀星Lv.8,233.7,,
015位,キリスランP,雀星Lv.6,226.8,,
016位,パステル,雀星Lv.2,224.3,,
